lcl|CP003770.1_cds_AFQ02812.1_1,lcl|L43967.2_cds_AAC71217.2_1,99.913,1143,1,0,1,1143,1,1143,0.0,2058
lcl|CP003770.1_cds_AFQ02812.1_1,lcl|L43967.2_cds_AAC71646.1_429,84.848,33,5,0,212,244,2477,2445,0.003,38.3
lcl|CP003770.1_cds_AFQ02812.1_1,lcl|L43967.2_cds_AAC71231.1_15,77.358,53,9,2,98,150,571,522,0.012,36.5
lcl|CP003770.1_cds_AFQ02812.1_1,lcl|L43967.2_cds_AAC71563.2_345,88.462,26,3,0,959,984,3410,3435,0.040,34.6
lcl|CP003770.1_cds_AFQ02812.1_1,lcl|L43967.2_cds_AAC71224.1_8,84.848,33,4,1,606,638,633,602,0.040,34.6
lcl|CP003770.1_cds_AFQ02812.1_1,lcl|L43967.2_cds_AAC71641.1_423,76.744,43,10,0,435,477,1077,1119,0.040,33.7
lcl|CP003770.1_cds_AFQ02812.1_1,lcl|L43967.2_cds_AAC71513.1_297,75.000,48,12,0,392,439,2525,2572,0.040,33.7
lcl|CP003770.1_cds_AFQ02812.1_1,lcl|L43967.2_cds_AAC71235.1_17,100.000,18,0,0,585,602,339,356,0.040,33.7
lcl|CP003770.1_cds_AFQ02813.1_2,lcl|L43967.2_cds_AAC71218.2_2,100.000,933,0,0,1,933,1,933,0.0,1683
lcl|CP003770.1_cds_AFQ02813.1_2,lcl|L43967.2_cds_AAC71280.2_63,79.070,43,7,1,599,641,358,398,0.009,35.6
lcl|CP003770.1_cds_AFQ02814.1_3,lcl|L43967.2_cds_AAC71219.1_3,99.949,1953,1,0,1,1953,1,1953,0.0,3518
lcl|CP003770.1_cds_AFQ02814.1_3,lcl|L43967.2_cds_AAC71219.1_3,100.000,22,0,0,1440,1461,1461,1440,4.66e-04,41.0
lcl|CP003770.1_cds_AFQ02814.1_3,lcl|L43967.2_cds_AAC71421.1_203,65.945,508,148,11,1315,1808,1267,1763,1.10e-24,110
lcl|CP003770.1_cds_AFQ02814.1_3,lcl|L43967.2_cds_AAC71421.1_203,66.574,359,107,9,39,391,24,375,1.86e-15,78.8
lcl|CP003770.1_cds_AFQ02815.1_4,lcl|L43967.2_cds_AAC71220.1_4,99.960,2511,1,0,1,2511,1,2511,0.0,4525
lcl|CP003770.1_cds_AFQ02815.1_4,lcl|L43967.2_cds_AAC71422.1_204,66.154,585,166,18,133,701,97,665,4.05e-25,111
lcl|CP003770.1_cds_AFQ02815.1_4,lcl|L43967.2_cds_AAC71221.1_5,100.000,29,0,0,2483,2511,1,29,9.53e-08,53.6
lcl|CP003770.1_cds_AFQ02815.1_4,lcl|L43967.2_cds_AAC71237.1_19,79.032,62,7,3,1843,1903,458,514,1.41e-05,46.4
lcl|CP003770.1_cds_AFQ02815.1_4,lcl|L43967.2_cds_AAC71469.1_252,95.652,23,1,0,1605,1627,521,499,0.007,38.3
lcl|CP003770.1_cds_AFQ02815.1_4,lcl|L43967.2_cds_AAC71274.1_57,100.000,20,0,0,1179,1198,321,340,0.007,37.4
lcl|CP003770.1_cds_AFQ02816.1_5,lcl|L43967.2_cds_AAC71221.1_5,100.000,1254,0,0,1,1254,1,1254,0.0,2262
lcl|CP003770.1_cds_AFQ02816.1_5,lcl|L43967.2_cds_AAC71220.1_4,100.000,29,0,0,1,29,2483,2511,4.72e-08,53.6
