# feature;class;assembly;assembly_unit;seq_type;chromosome;genomic_accession;start;end;strand;product_accession;non-redundant_refseq;related_accession;name;symbol;GeneID;locus_tag;feature_interval_length;product_length;attributes
gene;protein_coding;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;686;1828;+;;;;;;;CM9_00005;1143;;
CDS;with_protein;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;686;1828;+;AFQ02812.1;;;DNA polymerase III subunit beta;;;CM9_00005;1143;380;
gene;protein_coding;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;1828;2760;+;;;;;;;CM9_00010;933;;
CDS;with_protein;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;1828;2760;+;AFQ02813.1;;;DnaJ domain-containing protein;;;CM9_00010;933;310;
gene;protein_coding;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;2845;4797;+;;;;;gyrB;;CM9_00015;1953;;
CDS;with_protein;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;2845;4797;+;AFQ02814.1;;;DNA gyrase subunit B;gyrB;;CM9_00015;1953;650;
gene;protein_coding;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;4812;7322;+;;;;;;;CM9_00020;2511;;
CDS;with_protein;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;4812;7322;+;AFQ02815.1;;;DNA gyrase subunit A;;;CM9_00020;2511;836;
gene;protein_coding;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;7294;8547;+;;;;;;;CM9_00025;1254;;
CDS;with_protein;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;7294;8547;+;AFQ02816.1;;;seryl-tRNA ligase;;;CM9_00025;1254;417;
gene;protein_coding;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;8551;9183;+;;;;;;;CM9_00030;633;;
CDS;with_protein;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;8551;9183;+;AFQ02817.1;;;thymidylate kinase;;;CM9_00030;633;210;
gene;protein_coding;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;9156;9920;+;;;;;;;CM9_00035;765;;
CDS;with_protein;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;9156;9920;+;AFQ02818.1;;;DNA polymerase III subunit delta';;;CM9_00035;765;254;
gene;protein_coding;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;9923;11251;+;;;;;trmE;;CM9_00040;1329;;
CDS;with_protein;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;9923;11251;+;AFQ02819.1;;;tRNA modification GTPase TrmE;trmE;;CM9_00040;1329;442;
gene;protein_coding;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;11251;12039;+;;;;;;;CM9_00045;789;;
CDS;with_protein;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;11251;12039;+;AFQ02820.1;;;TatD family deoxyribonuclease;;;CM9_00045;789;262;
gene;protein_coding;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;12068;12724;+;;;;;;;CM9_00050;657;;
CDS;with_protein;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;12068;12724;+;AFQ02821.1;;;DNA primase-related protein;;;CM9_00050;657;218;
gene;protein_coding;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;12701;13564;-;;;;;;;CM9_00055;864;;
CDS;with_protein;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;12701;13564;-;AFQ02822.1;;;hypothetical protein;;;CM9_00055;864;287;
gene;protein_coding;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;13569;14432;-;;;;;;;CM9_00060;864;;
CDS;with_protein;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;13569;14432;-;AFQ02823.1;;;alpha-L-glutamate ligase;;;CM9_00060;864;287;
gene;protein_coding;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;14395;15216;-;;;;;;;CM9_00065;822;;
CDS;with_protein;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;14395;15216;-;AFQ02824.1;;;methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase;;;CM9_00065;822;273;
gene;tRNA;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;15294;15369;-;;;;;;;CM9_t02777;76;;
tRNA;;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;15294;15369;-;;;;tRNA-Ala;;;CM9_t02777;76;;
gene;tRNA;GCA_000292405.1;Primary Assembly;chromosome;;CP003770.1;15375;15451;-;;;;;;;CM9_t02779;77;;
